,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
19,"am360, ma391",discussion on topics of current interest in applied mathematics basic skills for academic reading proposal topic regulations and procedures literature review designing and planning of the project report writing and topic of project presentation,['disciplinary course(s): am260\nstอบได้ am.260 หรือ ได้รับอนุมัติจากผู้บรรยาย'],['consecutive course(s): am460'],sci,"['am260', 'am.260', 'am460']"
59,"at437, at438",biology of animal behaviour behavioural genetics memory and learning foraging and ingestive behaviour social and reproductive behaviour farm animal behaviour regulations and assessment of animal welfare field trips,[],[],sci,[]
213,"cs303, cs401",senior projects will be assigned or approved by the department this course prepares students for developing a proposal for doing research writing research papers and presenting the proposal to the committee,['disciplinary course(s): cs300 and cs301 or\ncs300 and cs302\nstำหรับนักศึกษาตั้งแต่ชั้นปีที่ 3 ขึ้นไป'],['consecutive course(s): cs403'],sci,"['cs300', 'cs301', 'cs300', 'cs302', 'cs403']"
235,"cs369, cs485",basic systems and protocols for providing services on the internet developing and deploying web applications topics covered web application development techniques for both client side and server side session management interfacing with other online services web application security web design patterns and reusable web application components,['disciplinary course(s): cs234 or\ncs322'],[],sci,"['cs234', 'cs322']"
238,"cs379, cs466",deterministic and stochastic grammars morphological analysis syntax analysis semantic analysis discourse analysis and applications (eg machine translation speech recognition and synthesis and text mining),['disciplinary course(s): cs265'],[],sci,['cs265']
255,"es201, es391",integration of principles and theories to be applied to systematically solve complex problems in the environment to distinguish synthesize and analyze information from world current online information in order to properly present the facts to the public in accordance with environmentalist ethics,[],[],sci,[]
429,"np190, np391",challenge problems are given to students with the objective of enhancing and creating a road map of developing creative and innovative thoughts in their minds main focus is upon international current developments and trends of innovation in the field of applied physics or electronics with the assistance of challenge problems students can gain the methodology of conceptual learning by themselves and crystalize their ideas for the suggestion of the problems’ solutions to committee grades: s or u,[],[],sci,[]
430,"np200, np210",elementary circuit theory analysis of dc and ac circuits frequency filter circuits semiconductors and p-n junction diode circuits transistors amplifier circuits digital systems elementary principles of logic gates flip-flops registers counting circuits digital communications,['disciplinary course(s): sc132 or\nparallel degree/ dual degree sc132 or\nsc135'],"['consecutive course(s): np210, np211, np217, np220']",sci,"['sc132', 'sc132', 'sc135', 'np210', 'np211', 'np217', 'np220']"
447,"pc101, pc203",computational tools to do data analysis solve mathematics and physics problems and visualize the data and results spreadsheet software computer algebra systems computer programming and debugging,['consecutive course(s): pc346'],[],sci,['pc346']
666,"tg323, tg326",principles and procedures for chemical and physical finishing nature of chemical substance used in textile finishing process to impart specific end-use properties new techniques for finishing of textile products and applications field trips are included,['disciplinary course(s): tg322'],[],sci,['tg322']
